"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"61","Afghanistan",2021-02-12,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"62","Afghanistan",2021-02-13,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"63","Afghanistan",2021-02-14,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"64","Afghanistan",2021-02-15,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"65","Afghanistan",2021-02-16,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"66","Afghanistan",2021-02-17,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"67","Afghanistan",2021-02-18,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"68","Afghanistan",2021-02-19,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"69","Afghanistan",2021-02-20,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"70","Afghanistan",2021-02-21,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"71","Afghanistan",2021-02-22,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"72","Afghanistan",2021-02-23,"Asia",39074280,"Oxford/AstraZeneca",0,0,1
"73","Afghanistan",2021-02-24,"Asia",39074280,"Oxford/AstraZeneca",0.01,0.5,1
"74","Afghanistan",2021-02-25,"Asia",39074280,"Oxford/AstraZeneca",0.01,0,1
"75","Afghanistan",2021-02-26,"Asia",39074280,"Oxford/AstraZeneca",0.01,0,1
"76","Afghanistan",2021-02-27,"Asia",39074280,"Oxford/AstraZeneca",0.02,0,1
"77","Afghanistan",2021-02-28,"Asia",39074280,"Oxford/AstraZeneca",0.02,0,1
"78","Afghanistan",2021-03-01,"Asia",39074280,"Oxford/AstraZeneca",0.03,0,1
"79","Afghanistan",2021-03-02,"Asia",39074280,"Oxford/AstraZeneca",0.03,0.5,2
"80","Afghanistan",2021-03-03,"Asia",39074280,"Oxford/AstraZeneca",0.03,0,1
"81","Afghanistan",2021-03-04,"Asia",39074280,"Oxford/AstraZeneca",0.04,0,1
"82","Afghanistan",2021-03-05,"Asia",39074280,"Oxford/AstraZeneca",0.05,0,1
"83","Afghanistan",2021-03-06,"Asia",39074280,"Oxford/AstraZeneca",0.05,0,1
"84","Afghanistan",2021-03-07,"Asia",39074280,"Oxford/AstraZeneca",0.06,0,1
"85","Afghanistan",2021-03-08,"Asia",39074280,"Oxford/AstraZeneca",0.07,0,1
"86","Afghanistan",2021-03-09,"Asia",39074280,"Oxford/AstraZeneca",0.08,0,1
"87","Afghanistan",2021-03-10,"Asia",39074280,"Oxford/AstraZeneca",0.08,0,1
"88","Afghanistan",2021-03-11,"Asia",39074280,"Oxford/AstraZeneca",0.09,0,1
"89","Afghanistan",2021-03-12,"Asia",39074280,"Oxford/AstraZeneca",0.1,0,1
"90","Afghanistan",2021-03-13,"Asia",39074280,"Oxford/AstraZeneca",0.1,0,1
"91","Afghanistan",2021-03-14,"Asia",39074280,"Oxford/AstraZeneca",0.11,0,1
"92","Afghanistan",2021-03-15,"Asia",39074280,"Oxford/AstraZeneca",0.12,0,1
"93","Afghanistan",2021-03-16,"Asia",39074280,"Oxford/AstraZeneca",0.14,0,1
